Name,Emotion,Timestamp
Unknown,neutral,2025-06-27 10:09:01
Unknown,neutral,2025-06-27 10:09:01
Unknown,neutral,2025-06-27 10:09:02
Unknown,neutral,2025-06-27 10:09:02
Unknown,neutral,2025-06-27 10:09:03
Unknown,neutral,2025-06-27 10:09:03
Unknown,angry,2025-06-27 10:09:03
Unknown,happy,2025-06-27 10:09:04
Unknown,surprise,2025-06-27 10:09:04
Unknown,neutral,2025-06-27 10:09:04
Unknown,fear,2025-06-27 10:09:04
Unknown,angry,2025-06-27 10:09:05
Unknown,neutral,2025-06-27 10:09:05
Unknown,neutral,2025-06-27 10:09:06
Unknown,happy,2025-06-27 10:09:06
Unknown,happy,2025-06-27 10:09:06
Unknown,sad,2025-06-27 10:09:06
Unknown,neutral,2025-06-27 10:09:07
Unknown,happy,2025-06-27 10:09:07
Unknown,neutral,2025-06-27 10:09:07
Unknown,sad,2025-06-27 10:09:07
Unknown,sad,2025-06-27 10:09:07
Unknown,neutral,2025-06-27 10:09:07
Unknown,sad,2025-06-27 10:09:07
Unknown,fear,2025-06-27 10:09:08
Unknown,happy,2025-06-27 10:09:08
Unknown,fear,2025-06-27 10:09:09
Unknown,fear,2025-06-27 10:09:09
Unknown,fear,2025-06-27 10:09:10
Unknown,happy,2025-06-27 10:09:10
Unknown,happy,2025-06-27 10:09:10
Unknown,happy,2025-06-27 10:09:11
Unknown,happy,2025-06-27 10:09:11
Unknown,happy,2025-06-27 10:09:12
Unknown,happy,2025-06-27 10:09:12
Unknown,happy,2025-06-27 10:09:12
Unknown,happy,2025-06-27 10:09:13
Unknown,happy,2025-06-27 10:09:13
Unknown,fear,2025-06-27 10:09:14
Unknown,happy,2025-06-27 10:09:14
Unknown,fear,2025-06-27 10:09:15
Unknown,fear,2025-06-27 10:09:15
Unknown,happy,2025-06-27 10:09:15
Unknown,fear,2025-06-27 10:09:16
Unknown,fear,2025-06-27 10:09:16
Unknown,fear,2025-06-27 10:09:17
Unknown,fear,2025-06-27 10:09:17
Unknown,fear,2025-06-27 10:09:17
Unknown,fear,2025-06-27 10:09:18
Unknown,fear,2025-06-27 10:09:18
Unknown,fear,2025-06-27 10:09:19
Unknown,fear,2025-06-27 10:09:19
Unknown,fear,2025-06-27 10:09:19
Unknown,fear,2025-06-27 10:09:20
Unknown,fear,2025-06-27 10:09:20
Unknown,fear,2025-06-27 10:09:21
Unknown,fear,2025-06-27 10:09:21
Unknown,fear,2025-06-27 10:09:22
Unknown,fear,2025-06-27 10:09:22
Unknown,fear,2025-06-27 10:09:23
Unknown,fear,2025-06-27 10:09:23
Unknown,fear,2025-06-27 10:09:23
Unknown,fear,2025-06-27 10:09:24
Unknown,fear,2025-06-27 10:09:24
Unknown,neutral,2025-06-27 10:09:25
Unknown,neutral,2025-06-27 10:09:25
Unknown,neutral,2025-06-27 10:09:26
Unknown,neutral,2025-06-27 10:09:26
Unknown,neutral,2025-06-27 10:09:26
Unknown,happy,2025-06-27 10:09:27
Unknown,neutral,2025-06-27 10:09:27
Unknown,neutral,2025-06-27 10:09:28
Unknown,neutral,2025-06-27 10:09:28
Unknown,neutral,2025-06-27 10:09:29
Unknown,neutral,2025-06-27 10:09:29
Unknown,neutral,2025-06-27 10:09:30
Unknown,neutral,2025-06-27 10:09:30
Unknown,neutral,2025-06-27 10:09:30
Unknown,neutral,2025-06-27 10:09:31
Unknown,sad,2025-06-27 10:09:31
Unknown,angry,2025-06-27 10:09:31
Unknown,fear,2025-06-27 10:09:32
Unknown,neutral,2025-06-27 10:09:32
Unknown,neutral,2025-06-27 10:09:33
Unknown,neutral,2025-06-27 10:09:33
Unknown,happy,2025-06-27 10:09:33
Unknown,neutral,2025-06-27 10:09:34
Unknown,neutral,2025-06-27 10:09:34
Unknown,neutral,2025-06-27 10:09:35
Unknown,fear,2025-06-27 10:09:35
Unknown,neutral,2025-06-27 10:09:36
Unknown,fear,2025-06-27 10:09:36
Unknown,neutral,2025-06-27 10:09:36
Unknown,fear,2025-06-27 10:09:37
Unknown,neutral,2025-06-27 10:09:37
Unknown,neutral,2025-06-27 10:09:38
Unknown,happy,2025-06-27 10:09:38
Unknown,neutral,2025-06-27 10:09:38
Unknown,neutral,2025-06-27 10:09:39
